instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category
32,2011-01-02,Spring,2011,1,8,0,0,0,Light Snow/Rain,0.4,0.4091,0.71,0.2239,0,8,8,Morning Rush Hour
33,2011-01-02,Spring,2011,1,9,0,0,0,Misty/Cloudy,0.38,0.3939,0.76,0.2239,1,19,20,Morning Rush Hour
34,2011-01-02,Spring,2011,1,10,0,0,0,Misty/Cloudy,0.36,0.3485,0.81,0.2239,7,46,53,Non-Rush Hour
35,2011-01-02,Spring,2011,1,11,0,0,0,Misty/Cloudy,0.36,0.3333,0.71,0.2537,16,54,70,Non-Rush Hour
36,2011-01-02,Spring,2011,1,12,0,0,0,Misty/Cloudy,0.36,0.3333,0.66,0.2985,20,73,93,Non-Rush Hour
37,2011-01-02,Spring,2011,1,13,0,0,0,Misty/Cloudy,0.36,0.3485,0.66,0.1343,11,64,75,Non-Rush Hour
38,2011-01-02,Spring,2011,1,14,0,0,0,Light Snow/Rain,0.36,0.3485,0.76,0.194,4,55,59,Non-Rush Hour
39,2011-01-02,Spring,2011,1,15,0,0,0,Light Snow/Rain,0.34,0.3333,0.81,0.1642,19,55,74,Non-Rush Hour
40,2011-01-02,Spring,2011,1,16,0,0,0,Light Snow/Rain,0.34,0.3333,0.71,0.1642,9,67,76,Evening Rush Hour
41,2011-01-02,Spring,2011,1,17,0,0,0,Clear/Partly Cloudy,0.34,0.3333,0.57,0.194,7,58,65,Evening Rush Hour
42,2011-01-02,Spring,2011,1,18,0,0,0,Misty/Cloudy,0.36,0.3333,0.46,0.3284,10,43,53,Evening Rush Hour
43,2011-01-02,Spring,2011,1,19,0,0,0,Clear/Partly Cloudy,0.32,0.2879,0.42,0.4478,1,29,30,Evening Rush Hour
44,2011-01-02,Spring,2011,1,20,0,0,0,Clear/Partly Cloudy,0.3,0.2727,0.39,0.3582,5,17,22,Non-Rush Hour
45,2011-01-02,Spring,2011,1,21,0,0,0,Clear/Partly Cloudy,0.26,0.2273,0.44,0.3284,11,20,31,Non-Rush Hour
46,2011-01-02,Spring,2011,1,22,0,0,0,Clear/Partly Cloudy,0.24,0.2121,0.44,0.2985,0,9,9,Non-Rush Hour
47,2011-01-02,Spring,2011,1,23,0,0,0,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,0,8,8,Non-Rush Hour
48,2011-01-03,Spring,2011,1,0,0,1,1,Clear/Partly Cloudy,0.22,0.197,0.44,0.3582,0,5,5,Non-Rush Hour
49,2011-01-03,Spring,2011,1,1,0,1,1,Clear/Partly Cloudy,0.2,0.1667,0.44,0.4179,0,2,2,Non-Rush Hour
50,2011-01-03,Spring,2011,1,4,0,1,1,Clear/Partly Cloudy,0.16,0.1364,0.47,0.3881,0,1,1,Non-Rush Hour
51,2011-01-03,Spring,2011,1,5,0,1,1,Clear/Partly Cloudy,0.16,0.1364,0.47,0.2836,0,3,3,Non-Rush Hour
52,2011-01-03,Spring,2011,1,6,0,1,1,Clear/Partly Cloudy,0.14,0.1061,0.5,0.3881,0,30,30,Morning Rush Hour
53,2011-01-03,Spring,2011,1,7,0,1,1,Clear/Partly Cloudy,0.14,0.1364,0.5,0.194,1,63,64,Morning Rush Hour
54,2011-01-03,Spring,2011,1,8,0,1,1,Clear/Partly Cloudy,0.14,0.1212,0.5,0.2836,1,153,154,Morning Rush Hour
55,2011-01-03,Spring,2011,1,9,0,1,1,Clear/Partly Cloudy,0.16,0.1364,0.43,0.3881,7,81,88,Morning Rush Hour
56,2011-01-03,Spring,2011,1,10,0,1,1,Clear/Partly Cloudy,0.18,0.1667,0.43,0.2537,11,33,44,Non-Rush Hour
57,2011-01-03,Spring,2011,1,11,0,1,1,Clear/Partly Cloudy,0.2,0.1818,0.4,0.3284,10,41,51,Non-Rush Hour
58,2011-01-03,Spring,2011,1,12,0,1,1,Clear/Partly Cloudy,0.22,0.2121,0.35,0.2985,13,48,61,Non-Rush Hour
59,2011-01-03,Spring,2011,1,13,0,1,1,Clear/Partly Cloudy,0.24,0.2121,0.35,0.2836,8,53,61,Non-Rush Hour
60,2011-01-03,Spring,2011,1,14,0,1,1,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2836,11,66,77,Non-Rush Hour
61,2011-01-03,Spring,2011,1,15,0,1,1,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2537,14,58,72,Non-Rush Hour
62,2011-01-03,Spring,2011,1,16,0,1,1,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2537,9,67,76,Evening Rush Hour
63,2011-01-03,Spring,2011,1,17,0,1,1,Clear/Partly Cloudy,0.24,0.2273,0.3,0.2239,11,146,157,Evening Rush Hour
64,2011-01-03,Spring,2011,1,18,0,1,1,Clear/Partly Cloudy,0.24,0.2576,0.32,0.1045,9,148,157,Evening Rush Hour
65,2011-01-03,Spring,2011,1,19,0,1,1,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,8,102,110,Evening Rush Hour
66,2011-01-03,Spring,2011,1,20,0,1,1,Clear/Partly Cloudy,0.2,0.2273,0.47,0.1045,3,49,52,Non-Rush Hour
67,2011-01-03,Spring,2011,1,21,0,1,1,Clear/Partly Cloudy,0.18,0.197,0.64,0.1343,3,49,52,Non-Rush Hour
68,2011-01-03,Spring,2011,1,22,0,1,1,Clear/Partly Cloudy,0.14,0.1515,0.69,0.1343,0,20,20,Non-Rush Hour
69,2011-01-03,Spring,2011,1,23,0,1,1,Clear/Partly Cloudy,0.18,0.2121,0.55,0.1045,1,11,12,Non-Rush Hour
70,2011-01-04,Spring,2011,1,0,0,2,1,Clear/Partly Cloudy,0.16,0.1818,0.55,0.1045,0,5,5,Non-Rush Hour
71,2011-01-04,Spring,2011,1,1,0,2,1,Clear/Partly Cloudy,0.16,0.1818,0.59,0.1045,0,2,2,Non-Rush Hour
72,2011-01-04,Spring,2011,1,2,0,2,1,Clear/Partly Cloudy,0.14,0.1515,0.63,0.1343,0,1,1,Non-Rush Hour
73,2011-01-04,Spring,2011,1,4,0,2,1,Clear/Partly Cloudy,0.14,0.1818,0.63,0.0896,0,2,2,Non-Rush Hour
74,2011-01-04,Spring,2011,1,5,0,2,1,Clear/Partly Cloudy,0.12,0.1515,0.68,0.1045,0,4,4,Non-Rush Hour
75,2011-01-04,Spring,2011,1,6,0,2,1,Clear/Partly Cloudy,0.12,0.1515,0.74,0.1045,0,36,36,Morning Rush Hour
76,2011-01-04,Spring,2011,1,7,0,2,1,Clear/Partly Cloudy,0.12,0.1515,0.74,0.1343,2,92,94,Morning Rush Hour
77,2011-01-04,Spring,2011,1,8,0,2,1,Clear/Partly Cloudy,0.14,0.1515,0.69,0.1642,2,177,179,Morning Rush Hour
78,2011-01-04,Spring,2011,1,9,0,2,1,Clear/Partly Cloudy,0.16,0.1515,0.64,0.2239,2,98,100,Morning Rush Hour
79,2011-01-04,Spring,2011,1,10,0,2,1,Misty/Cloudy,0.16,0.1364,0.69,0.3284,5,37,42,Non-Rush Hour
80,2011-01-04,Spring,2011,1,11,0,2,1,Clear/Partly Cloudy,0.22,0.2121,0.51,0.2985,7,50,57,Non-Rush Hour
81,2011-01-04,Spring,2011,1,12,0,2,1,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1642,12,66,78,Non-Rush Hour
82,2011-01-04,Spring,2011,1,13,0,2,1,Clear/Partly Cloudy,0.24,0.2273,0.56,0.194,18,79,97,Non-Rush Hour
83,2011-01-04,Spring,2011,1,14,0,2,1,Clear/Partly Cloudy,0.26,0.2576,0.52,0.2239,9,54,63,Non-Rush Hour
84,2011-01-04,Spring,2011,1,15,0,2,1,Clear/Partly Cloudy,0.28,0.2727,0.52,0.2537,17,48,65,Non-Rush Hour
85,2011-01-04,Spring,2011,1,16,0,2,1,Clear/Partly Cloudy,0.3,0.2879,0.49,0.2537,15,68,83,Evening Rush Hour
86,2011-01-04,Spring,2011,1,17,0,2,1,Clear/Partly Cloudy,0.28,0.2727,0.48,0.2239,10,202,212,Evening Rush Hour
87,2011-01-04,Spring,2011,1,18,0,2,1,Clear/Partly Cloudy,0.26,0.2576,0.48,0.194,3,179,182,Evening Rush Hour
88,2011-01-04,Spring,2011,1,19,0,2,1,Clear/Partly Cloudy,0.24,0.2576,0.48,0.1045,2,110,112,Evening Rush Hour
89,2011-01-04,Spring,2011,1,20,0,2,1,Clear/Partly Cloudy,0.24,0.2576,0.48,0.1045,1,53,54,Non-Rush Hour
90,2011-01-04,Spring,2011,1,21,0,2,1,Clear/Partly Cloudy,0.22,0.2727,0.64,0.0,0,48,48,Non-Rush Hour
91,2011-01-04,Spring,2011,1,22,0,2,1,Clear/Partly Cloudy,0.22,0.2576,0.64,0.0896,1,34,35,Non-Rush Hour
92,2011-01-04,Spring,2011,1,23,0,2,1,Clear/Partly Cloudy,0.2,0.2273,0.69,0.0896,2,9,11,Non-Rush Hour
93,2011-01-05,Spring,2011,1,0,0,3,1,Clear/Partly Cloudy,0.2,0.2576,0.64,0.0,0,6,6,Non-Rush Hour
94,2011-01-05,Spring,2011,1,1,0,3,1,Clear/Partly Cloudy,0.16,0.197,0.74,0.0896,0,6,6,Non-Rush Hour
95,2011-01-05,Spring,2011,1,2,0,3,1,Clear/Partly Cloudy,0.16,0.197,0.74,0.0896,0,2,2,Non-Rush Hour
96,2011-01-05,Spring,2011,1,4,0,3,1,Clear/Partly Cloudy,0.24,0.2273,0.48,0.2239,0,2,2,Non-Rush Hour
97,2011-01-05,Spring,2011,1,5,0,3,1,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,0,3,3,Non-Rush Hour
98,2011-01-05,Spring,2011,1,6,0,3,1,Clear/Partly Cloudy,0.2,0.197,0.47,0.2239,0,33,33,Morning Rush Hour
99,2011-01-05,Spring,2011,1,7,0,3,1,Clear/Partly Cloudy,0.18,0.1818,0.43,0.194,1,87,88,Morning Rush Hour
100,2011-01-05,Spring,2011,1,8,0,3,1,Clear/Partly Cloudy,0.2,0.1818,0.4,0.2985,3,192,195,Morning Rush Hour
101,2011-01-05,Spring,2011,1,9,0,3,1,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,6,109,115,Morning Rush Hour
102,2011-01-05,Spring,2011,1,10,0,3,1,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,4,53,57,Non-Rush Hour
103,2011-01-05,Spring,2011,1,11,0,3,1,Clear/Partly Cloudy,0.26,0.2273,0.33,0.3284,12,34,46,Non-Rush Hour
104,2011-01-05,Spring,2011,1,12,0,3,1,Clear/Partly Cloudy,0.26,0.2273,0.33,0.3284,5,74,79,Non-Rush Hour
105,2011-01-05,Spring,2011,1,13,0,3,1,Clear/Partly Cloudy,0.28,0.2576,0.3,0.2985,6,65,71,Non-Rush Hour
106,2011-01-05,Spring,2011,1,14,0,3,1,Clear/Partly Cloudy,0.3,0.2879,0.28,0.194,10,52,62,Non-Rush Hour
107,2011-01-05,Spring,2011,1,15,0,3,1,Clear/Partly Cloudy,0.3,0.2879,0.28,0.194,7,55,62,Non-Rush Hour
108,2011-01-05,Spring,2011,1,16,0,3,1,Clear/Partly Cloudy,0.3,0.3182,0.28,0.0896,4,85,89,Evening Rush Hour
109,2011-01-05,Spring,2011,1,17,0,3,1,Clear/Partly Cloudy,0.24,0.2273,0.38,0.194,4,186,190,Evening Rush Hour
110,2011-01-05,Spring,2011,1,18,0,3,1,Clear/Partly Cloudy,0.24,0.2424,0.38,0.1343,3,166,169,Evening Rush Hour
111,2011-01-05,Spring,2011,1,19,0,3,1,Clear/Partly Cloudy,0.24,0.2576,0.38,0.1045,5,127,132,Evening Rush Hour
112,2011-01-05,Spring,2011,1,20,0,3,1,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,7,82,89,Non-Rush Hour
113,2011-01-05,Spring,2011,1,21,0,3,1,Clear/Partly Cloudy,0.2,0.197,0.51,0.194,3,40,43,Non-Rush Hour
114,2011-01-05,Spring,2011,1,22,0,3,1,Clear/Partly Cloudy,0.18,0.197,0.55,0.1343,1,41,42,Non-Rush Hour
115,2011-01-05,Spring,2011,1,23,0,3,1,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,1,18,19,Non-Rush Hour
116,2011-01-06,Spring,2011,1,0,0,4,1,Clear/Partly Cloudy,0.18,0.2424,0.55,0.0,0,11,11,Non-Rush Hour
117,2011-01-06,Spring,2011,1,1,0,4,1,Clear/Partly Cloudy,0.16,0.2273,0.64,0.0,0,4,4,Non-Rush Hour
118,2011-01-06,Spring,2011,1,2,0,4,1,Clear/Partly Cloudy,0.16,0.2273,0.64,0.0,0,2,2,Non-Rush Hour
119,2011-01-06,Spring,2011,1,4,0,4,1,Misty/Cloudy,0.16,0.197,0.64,0.0896,0,1,1,Non-Rush Hour
120,2011-01-06,Spring,2011,1,5,0,4,1,Misty/Cloudy,0.14,0.1818,0.69,0.0896,0,4,4,Non-Rush Hour
121,2011-01-06,Spring,2011,1,6,0,4,1,Misty/Cloudy,0.14,0.1667,0.63,0.1045,0,36,36,Morning Rush Hour
122,2011-01-06,Spring,2011,1,7,0,4,1,Misty/Cloudy,0.16,0.2273,0.59,0.0,0,95,95,Morning Rush Hour
123,2011-01-06,Spring,2011,1,8,0,4,1,Clear/Partly Cloudy,0.16,0.2273,0.59,0.0,3,216,219,Morning Rush Hour
124,2011-01-06,Spring,2011,1,9,0,4,1,Misty/Cloudy,0.18,0.2424,0.51,0.0,6,116,122,Morning Rush Hour
125,2011-01-06,Spring,2011,1,10,0,4,1,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,3,42,45,Non-Rush Hour
126,2011-01-06,Spring,2011,1,11,0,4,1,Clear/Partly Cloudy,0.22,0.2576,0.44,0.0896,2,57,59,Non-Rush Hour
127,2011-01-06,Spring,2011,1,12,0,4,1,Clear/Partly Cloudy,0.26,0.2879,0.35,0.0,6,78,84,Non-Rush Hour
128,2011-01-06,Spring,2011,1,13,0,4,1,Clear/Partly Cloudy,0.26,0.2727,0.35,0.1045,12,55,67,Non-Rush Hour
129,2011-01-06,Spring,2011,1,14,0,4,1,Clear/Partly Cloudy,0.28,0.2727,0.36,0.1642,11,59,70,Non-Rush Hour
130,2011-01-06,Spring,2011,1,15,0,4,1,Clear/Partly Cloudy,0.28,0.2727,0.36,0.0,8,54,62,Non-Rush Hour
131,2011-01-06,Spring,2011,1,16,0,4,1,Clear/Partly Cloudy,0.26,0.2576,0.38,0.1642,12,74,86,Evening Rush Hour
132,2011-01-06,Spring,2011,1,17,0,4,1,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1642,9,163,172,Evening Rush Hour
133,2011-01-06,Spring,2011,1,18,0,4,1,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1343,5,158,163,Evening Rush Hour
134,2011-01-06,Spring,2011,1,19,0,4,1,Clear/Partly Cloudy,0.22,0.2576,0.55,0.0896,3,109,112,Evening Rush Hour
135,2011-01-06,Spring,2011,1,20,0,4,1,Clear/Partly Cloudy,0.2,0.2121,0.51,0.1642,3,66,69,Non-Rush Hour
136,2011-01-06,Spring,2011,1,21,0,4,1,Misty/Cloudy,0.22,0.2121,0.55,0.2239,0,48,48,Non-Rush Hour
137,2011-01-06,Spring,2011,1,22,0,4,1,Misty/Cloudy,0.22,0.2121,0.51,0.2836,1,51,52,Non-Rush Hour
138,2011-01-06,Spring,2011,1,23,0,4,1,Misty/Cloudy,0.2,0.197,0.59,0.194,4,19,23,Non-Rush Hour
139,2011-01-07,Spring,2011,1,0,0,5,1,Misty/Cloudy,0.2,0.197,0.64,0.194,4,13,17,Non-Rush Hour
140,2011-01-07,Spring,2011,1,1,0,5,1,Misty/Cloudy,0.2,0.197,0.69,0.2239,2,5,7,Non-Rush Hour
141,2011-01-07,Spring,2011,1,2,0,5,1,Misty/Cloudy,0.2,0.197,0.69,0.2239,0,1,1,Non-Rush Hour
142,2011-01-07,Spring,2011,1,4,0,5,1,Misty/Cloudy,0.2,0.2121,0.69,0.1343,0,1,1,Non-Rush Hour
143,2011-01-07,Spring,2011,1,5,0,5,1,Light Snow/Rain,0.22,0.2727,0.55,0.0,0,5,5,Non-Rush Hour
144,2011-01-07,Spring,2011,1,6,0,5,1,Misty/Cloudy,0.2,0.2576,0.69,0.0,8,26,34,Morning Rush Hour
145,2011-01-07,Spring,2011,1,7,0,5,1,Clear/Partly Cloudy,0.2,0.2121,0.69,0.1343,8,76,84,Morning Rush Hour
146,2011-01-07,Spring,2011,1,8,0,5,1,Clear/Partly Cloudy,0.2,0.197,0.51,0.2537,20,190,210,Morning Rush Hour
147,2011-01-07,Spring,2011,1,9,0,5,1,Clear/Partly Cloudy,0.2,0.1818,0.47,0.2985,9,125,134,Morning Rush Hour
148,2011-01-07,Spring,2011,1,10,0,5,1,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,16,47,63,Non-Rush Hour
149,2011-01-07,Spring,2011,1,11,0,5,1,Misty/Cloudy,0.2,0.197,0.4,0.2239,19,48,67,Non-Rush Hour
150,2011-01-07,Spring,2011,1,12,0,5,1,Misty/Cloudy,0.2,0.197,0.37,0.2537,9,50,59,Non-Rush Hour
151,2011-01-07,Spring,2011,1,13,0,5,1,Misty/Cloudy,0.2,0.1818,0.37,0.2836,9,64,73,Non-Rush Hour
152,2011-01-07,Spring,2011,1,14,0,5,1,Misty/Cloudy,0.2,0.197,0.4,0.2537,7,43,50,Non-Rush Hour
153,2011-01-07,Spring,2011,1,15,0,5,1,Misty/Cloudy,0.2,0.2121,0.37,0.1642,9,63,72,Non-Rush Hour
154,2011-01-07,Spring,2011,1,16,0,5,1,Misty/Cloudy,0.2,0.2121,0.37,0.1642,5,82,87,Evening Rush Hour
155,2011-01-07,Spring,2011,1,17,0,5,1,Misty/Cloudy,0.2,0.2576,0.37,0.0,9,178,187,Evening Rush Hour
156,2011-01-07,Spring,2011,1,18,0,5,1,Clear/Partly Cloudy,0.2,0.2273,0.4,0.0896,7,116,123,Evening Rush Hour
157,2011-01-07,Spring,2011,1,19,0,5,1,Clear/Partly Cloudy,0.16,0.197,0.55,0.0896,3,92,95,Evening Rush Hour
158,2011-01-07,Spring,2011,1,20,0,5,1,Clear/Partly Cloudy,0.18,0.2121,0.47,0.1045,1,50,51,Non-Rush Hour
159,2011-01-07,Spring,2011,1,21,0,5,1,Clear/Partly Cloudy,0.18,0.197,0.47,0.1343,0,39,39,Non-Rush Hour
160,2011-01-07,Spring,2011,1,22,0,5,1,Misty/Cloudy,0.18,0.197,0.43,0.1642,2,34,36,Non-Rush Hour
161,2011-01-07,Spring,2011,1,23,0,5,1,Misty/Cloudy,0.18,0.197,0.51,0.1642,1,14,15,Non-Rush Hour
162,2011-01-08,Spring,2011,1,0,0,6,0,Misty/Cloudy,0.18,0.197,0.51,0.1642,1,24,25,Non-Rush Hour
163,2011-01-08,Spring,2011,1,1,0,6,0,Misty/Cloudy,0.18,0.2121,0.55,0.0896,1,15,16,Non-Rush Hour
164,2011-01-08,Spring,2011,1,2,0,6,0,Misty/Cloudy,0.18,0.2424,0.55,0.0,3,13,16,Non-Rush Hour
165,2011-01-08,Spring,2011,1,3,0,6,0,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,7,7,Non-Rush Hour
166,2011-01-08,Spring,2011,1,4,0,6,0,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,1,1,Non-Rush Hour
167,2011-01-08,Spring,2011,1,5,0,6,0,Misty/Cloudy,0.16,0.1667,0.74,0.1642,0,5,5,Non-Rush Hour
168,2011-01-08,Spring,2011,1,6,0,6,0,Misty/Cloudy,0.16,0.1667,0.74,0.1642,0,2,2,Morning Rush Hour
169,2011-01-08,Spring,2011,1,7,0,6,0,Misty/Cloudy,0.16,0.1818,0.74,0.1045,1,8,9,Morning Rush Hour
170,2011-01-08,Spring,2011,1,8,0,6,0,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,15,15,Morning Rush Hour
171,2011-01-08,Spring,2011,1,9,0,6,0,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,20,20,Morning Rush Hour
172,2011-01-08,Spring,2011,1,10,0,6,0,Misty/Cloudy,0.18,0.197,0.8,0.1642,5,56,61,Non-Rush Hour
173,2011-01-08,Spring,2011,1,11,0,6,0,Misty/Cloudy,0.2,0.1818,0.69,0.3881,2,60,62,Non-Rush Hour
174,2011-01-08,Spring,2011,1,12,0,6,0,Misty/Cloudy,0.2,0.1818,0.59,0.3582,8,90,98,Non-Rush Hour
175,2011-01-08,Spring,2011,1,13,0,6,0,Clear/Partly Cloudy,0.2,0.1818,0.44,0.3284,7,95,102,Non-Rush Hour
176,2011-01-08,Spring,2011,1,14,0,6,0,Clear/Partly Cloudy,0.2,0.1667,0.32,0.4925,12,83,95,Non-Rush Hour
177,2011-01-08,Spring,2011,1,15,0,6,0,Clear/Partly Cloudy,0.2,0.1667,0.32,0.4478,5,69,74,Non-Rush Hour
178,2011-01-08,Spring,2011,1,16,0,6,0,Clear/Partly Cloudy,0.18,0.1364,0.29,0.4478,8,68,76,Evening Rush Hour
179,2011-01-08,Spring,2011,1,17,0,6,0,Clear/Partly Cloudy,0.16,0.1212,0.37,0.5522,5,64,69,Evening Rush Hour
180,2011-01-08,Spring,2011,1,18,0,6,0,Clear/Partly Cloudy,0.14,0.1212,0.39,0.2985,3,52,55,Evening Rush Hour
181,2011-01-08,Spring,2011,1,19,0,6,0,Clear/Partly Cloudy,0.14,0.1212,0.36,0.2537,4,26,30,Evening Rush Hour
182,2011-01-08,Spring,2011,1,20,0,6,0,Clear/Partly Cloudy,0.12,0.1212,0.36,0.2537,0,28,28,Non-Rush Hour
183,2011-01-08,Spring,2011,1,21,0,6,0,Clear/Partly Cloudy,0.12,0.1061,0.39,0.3582,2,35,37,Non-Rush Hour
184,2011-01-08,Spring,2011,1,22,0,6,0,Clear/Partly Cloudy,0.12,0.1061,0.36,0.3881,1,33,34,Non-Rush Hour
185,2011-01-08,Spring,2011,1,23,0,6,0,Clear/Partly Cloudy,0.1,0.0606,0.39,0.4478,0,22,22,Non-Rush Hour
186,2011-01-09,Spring,2011,1,0,0,0,0,Clear/Partly Cloudy,0.1,0.0758,0.42,0.3881,1,24,25,Non-Rush Hour
187,2011-01-09,Spring,2011,1,1,0,0,0,Clear/Partly Cloudy,0.1,0.0606,0.42,0.4627,0,12,12,Non-Rush Hour
188,2011-01-09,Spring,2011,1,2,0,0,0,Clear/Partly Cloudy,0.1,0.0606,0.46,0.4627,0,11,11,Non-Rush Hour
189,2011-01-09,Spring,2011,1,3,0,0,0,Clear/Partly Cloudy,0.1,0.0758,0.46,0.4179,0,4,4,Non-Rush Hour
190,2011-01-09,Spring,2011,1,4,0,0,0,Clear/Partly Cloudy,0.08,0.0909,0.53,0.194,0,1,1,Non-Rush Hour
191,2011-01-09,Spring,2011,1,5,0,0,0,Clear/Partly Cloudy,0.08,0.0909,0.53,0.194,0,1,1,Non-Rush Hour
192,2011-01-09,Spring,2011,1,6,0,0,0,Clear/Partly Cloudy,0.1,0.0909,0.49,0.2836,0,1,1,Morning Rush Hour
193,2011-01-09,Spring,2011,1,7,0,0,0,Clear/Partly Cloudy,0.08,0.0909,0.53,0.194,1,5,6,Morning Rush Hour
